group,GX,GY,GZ,AX,AY,AZ
screwdriver,32.65,-416.32,18.49,0.2,-0.58,0.45
handdriver,-23.56,155.33,0.98,-0.61,-0.29,0.98
screwdriver,-3.66,411.68,-60.67,0.2,-0.83,0.72
screwdriver,-157.84,467.83,30.82,1.38,-0.56,-0.1
handdriver,-14.4,79.04,8.24,-0.64,-0.12,0.76
handdriver,-16.05,14.77,-24.9,-0.32,-0.14,0.86
handdriver,8.42,-33.02,13.06,-0.08,-0.16,1.13
screwdriver,-12.21,83.5,45.53,0.36,-0.87,0.47
screwdriver,21.67,-23.68,27.22,0.41,-0.86,0.44
handdriver,-18.62,91.55,6.35,-0.43,-0.13,0.87
handdriver,19.78,-267.88,-14.65,-0.93,-0.18,0.59
screwdriver,-22.46,60.12,-27.83,0.82,-0.89,0.34
screwdriver,5.98,-121.34,27.34,-0.86,-1.06,0.2
handdriver,14.77,-41.32,5.0,-0.53,-0.08,0.91
screwdriver,20.02,-87.16,15.99,0.91,-0.69,0.69
handdriver,-10.44,-59.27,-1.65,-0.63,-0.42,0.85
handdriver,-9.22,165.95,8.48,-1.14,-0.13,0.42
handdriver,23.44,-270.87,9.58,-0.62,-0.11,0.58
handdriver,17.82,-503.72,8.91,-0.27,-0.05,0.64
screwdriver,-40.28,133.12,-4.94,0.06,-0.82,0.71
handdriver,6.53,-52.73,7.81,-0.44,-0.16,0.9
handdriver,2.99,-58.59,12.39,-0.73,-0.14,0.78
handdriver,1.89,51.76,9.22,-0.82,-0.14,0.99
handdriver,4.88,-14.47,15.99,-0.51,-0.18,0.89
handdriver,-18.86,-6.84,3.36,-0.53,-0.13,0.84
handdriver,14.16,-147.34,-2.56,-1.19,-0.07,0.22
screwdriver,-120.0,621.95,10.01,0.99,-0.74,-0.53
handdriver,7.93,15.87,10.8,-0.74,-0.06,0.84
handdriver,20.14,-218.26,-7.93,-0.94,-0.04,0.74
handdriver,-27.83,304.38,10.99,-1.26,-0.3,0.39
handdriver,20.32,-258.97,12.45,-0.52,-0.05,0.63
handdriver,33.57,12.94,7.2,-0.06,-0.0,1.2
screwdriver,16.42,-88.87,56.09,-0.22,-0.85,0.33
screwdriver,63.11,-169.56,5.68,0.55,-0.74,0.43
handdriver,35.4,-311.4,8.48,-0.43,-0.05,0.88
handdriver,-0.24,71.23,11.11,-0.51,-0.02,0.67
screwdriver,27.95,-166.99,21.55,0.34,-0.84,0.35
screwdriver,54.2,-203.37,-48.28,0.41,-0.74,0.62
screwdriver,-17.58,71.53,26.55,0.21,-0.75,0.57
screwdriver,-1.89,-207.03,20.32,-0.05,-0.85,-0.16
screwdriver,-30.21,40.71,-3.97,0.37,-0.67,0.08
handdriver,-55.05,124.69,-1.53,-0.57,-0.1,0.8
screwdriver,0.61,-120.54,2.93,-0.18,-0.78,0.8
screwdriver,25.33,-194.4,20.14,0.2,-0.6,0.56
handdriver,-12.94,47.61,3.36,-0.33,-0.19,1.02
handdriver,6.04,-7.26,1.34,-0.58,-0.06,0.81
handdriver,-6.41,10.93,-0.67,-0.37,-0.2,1.02
handdriver,27.1,-375.49,7.26,-0.57,-0.03,0.63
screwdriver,-162.84,613.04,-54.93,1.5,-0.81,0.69
handdriver,19.04,-16.97,15.93,-0.68,-0.11,0.92
screwdriver,-87.59,369.93,-28.69,0.41,-0.81,0.29
handdriver,17.7,-13.18,9.34,-0.53,-0.05,0.9
handdriver,38.33,-534.36,-5.43,-0.38,0.04,0.61
handdriver,-43.21,278.32,3.23,-0.36,-0.08,0.82
screwdriver,20.94,-166.56,9.7,-0.01,-0.7,0.83
handdriver,-2.87,4.27,4.46,-0.79,-0.16,0.71
handdriver,27.04,-42.42,24.29,-0.5,-0.19,1.11
screwdriver,69.27,-190.55,19.17,0.7,-0.64,0.5
handdriver,28.44,-248.47,-0.67,-1.03,-0.08,0.64
handdriver,-22.22,151.49,2.14,-0.48,-0.11,0.65
handdriver,7.14,-21.36,1.95,0.04,0.01,0.88
screwdriver,-11.11,-186.22,-0.73,0.6,-0.78,0.32
screwdriver,1.71,-155.82,-0.18,-0.12,-0.82,0.55
handdriver,24.96,-169.19,3.23,-1.37,0.01,0.25
screwdriver,-5.13,-77.88,-13.67,0.83,-0.76,0.25
screwdriver,0.24,-79.59,32.29,-0.02,-0.85,0.61
screwdriver,-34.3,36.68,-32.84,0.57,-0.76,0.64
screwdriver,28.69,-260.62,28.87,0.82,-0.45,0.59
handdriver,3.91,-33.45,1.53,-0.46,-0.06,0.8
screwdriver,-8.85,-57.31,40.1,0.82,-0.66,0.54
handdriver,5.49,-124.57,3.6,-0.85,-0.14,0.63
screwdriver,-66.89,413.21,-33.14,0.25,-0.7,0.28
screwdriver,-39.92,125.06,17.76,0.32,-0.74,0.31
screwdriver,-25.45,281.68,-19.35,-0.68,-1.11,0.67
screwdriver,17.46,-128.23,22.77,0.62,-0.47,0.54
handdriver,-10.13,-1.34,-7.39,-0.46,-0.14,0.83
handdriver,18.01,-138.18,27.04,-0.38,-0.21,0.9
screwdriver,-44.43,442.69,-33.26,0.45,-0.49,1.25
screwdriver,-14.04,146.73,28.63,0.23,-0.79,-0.09
screwdriver,-26.31,467.1,3.6,0.4,-0.56,0.58
handdriver,-12.33,47.49,-4.7,-0.33,-0.22,0.97
handdriver,-11.11,55.11,16.24,-0.58,-0.12,0.81
handdriver,-15.5,16.85,-7.45,-0.51,-0.15,0.83
handdriver,13.06,-211.55,-4.52,-0.38,-0.06,0.9
screwdriver,46.57,-1.77,28.44,0.23,-0.77,0.52
handdriver,-12.08,78.06,-0.31,-0.46,-0.06,0.88
handdriver,7.51,-53.47,8.91,-0.73,-0.12,0.92
handdriver,-15.38,-47.18,6.96,-0.54,-0.03,0.74
handdriver,30.88,-203.98,5.0,-0.92,-0.04,0.64
handdriver,17.82,-92.77,0.12,-0.45,-0.13,0.81
handdriver,11.23,-91.8,0.18,-0.38,-0.03,0.79
screwdriver,-2.56,-38.82,52.61,-0.02,-1.03,0.25
screwdriver,-11.05,5.19,18.31,0.74,-0.64,0.26
screwdriver,2.62,-23.86,9.83,0.74,-0.66,0.29
screwdriver,-0.85,-8.42,5.8,0.39,-0.83,0.48
handdriver,-9.95,94.06,13.61,-0.0,-0.12,0.96
screwdriver,31.86,-174.07,-9.64,0.29,-0.7,0.5
handdriver,7.81,-421.39,15.69,-0.27,-0.01,0.85
screwdriver,79.47,-153.99,32.04,0.98,-0.66,0.39
screwdriver,47.12,-197.69,22.83,0.28,-0.47,0.74
handdriver,-0.98,-41.81,2.08,-0.45,-0.19,0.91
handdriver,-16.66,124.39,14.34,-0.61,-0.12,0.7
screwdriver,67.2,-172.36,13.06,0.66,-0.8,0.63
screwdriver,-20.69,146.3,13.67,0.6,-0.42,0.61
handdriver,-8.54,52.67,8.97,-0.34,-0.18,1.16
screwdriver,21.73,-317.32,69.95,0.19,-0.99,0.44
handdriver,-1.95,45.96,7.14,-0.56,-0.12,0.9
handdriver,-6.96,24.54,3.05,-0.36,0.04,0.86
screwdriver,18.25,8.06,27.77,0.22,-0.95,0.05
screwdriver,17.46,-95.15,-68.97,0.09,-0.9,1.02
screwdriver,17.82,-184.88,22.58,0.51,-0.5,0.64
handdriver,29.97,-208.62,-15.99,-0.8,-0.07,0.81
screwdriver,-12.08,95.09,51.88,-0.07,-1.0,0.31
handdriver,-13.98,-19.65,-26.18,-0.41,-0.1,0.87
screwdriver,15.93,-66.96,9.64,0.62,-0.66,0.21
screwdriver,-12.88,168.4,9.64,-0.48,-0.72,0.77
handdriver,4.03,-51.94,6.47,-1.05,-0.12,0.74
handdriver,-16.97,129.03,11.47,-0.42,-0.13,0.9
screwdriver,40.47,-141.54,14.16,0.64,-0.6,0.91
screwdriver,93.08,-138.37,7.51,0.84,-0.72,0.38
screwdriver,-26.0,155.21,20.39,0.7,-0.79,0.02
screwdriver,-6.16,-36.13,9.03,0.12,-0.62,0.8
screwdriver,-39.67,163.57,-37.66,0.94,-0.87,0.87
handdriver,-0.55,-73.3,18.49,-0.33,-0.03,0.95
handdriver,5.62,179.32,15.26,-1.22,-0.09,0.34
handdriver,-3.3,-61.58,-1.4,-0.3,0.05,0.72
screwdriver,36.62,-140.14,-16.78,0.83,-0.89,0.16
handdriver,25.09,-162.72,0.73,-0.65,-0.1,0.72
screwdriver,-7.93,91.49,-40.89,0.24,-0.65,0.84
screwdriver,23.07,-180.79,43.15,0.47,-0.9,0.14
handdriver,28.14,-431.95,-1.95,-1.17,-0.08,-0.0
handdriver,-2.38,-35.22,-9.77,-0.17,-0.06,0.83
handdriver,-14.22,129.58,9.89,-1.03,-0.09,0.69
screwdriver,-8.06,-57.68,-4.76,0.68,-0.68,0.23
screwdriver,22.09,-281.49,6.71,-0.27,-0.85,0.48
handdriver,44.92,-361.33,-15.75,-0.85,-0.09,0.66
screwdriver,-12.57,46.39,21.79,-0.1,-0.88,0.66
handdriver,7.14,-192.38,21.97,-0.4,-0.25,0.93
handdriver,-19.35,78.12,7.14,-0.53,-0.09,0.74
handdriver,-1.1,-12.88,7.39,-0.68,-0.02,0.71
handdriver,-12.15,58.72,-2.08,-0.53,-0.12,0.73
screwdriver,34.0,-120.24,20.75,0.29,-0.74,0.64
screwdriver,37.41,-250.98,9.46,0.57,-0.59,0.68
handdriver,1.22,117.49,18.98,-1.53,-0.13,0.16
handdriver,-20.2,73.24,1.34,-0.47,-0.07,0.9
handdriver,56.27,-137.88,-4.76,-1.25,0.05,0.6
screwdriver,12.94,-56.95,11.23,0.18,-0.6,0.82
screwdriver,-5.0,-31.86,13.79,0.52,-0.72,0.32
screwdriver,-21.97,75.5,-7.08,0.5,-0.73,0.61
screwdriver,65.67,-91.13,-33.26,0.67,-0.81,-0.13
screwdriver,-24.23,-66.83,-25.09,0.79,-0.77,0.18
handdriver,20.94,-168.7,1.46,-0.75,-0.07,0.76
handdriver,9.16,-280.27,-26.31,-0.82,-0.1,0.82
handdriver,18.19,-90.94,-4.88,-0.33,-0.07,0.69
screwdriver,-48.89,-12.57,60.0,0.04,-0.79,0.39
handdriver,37.23,-372.8,-1.34,-0.74,-0.03,0.57
screwdriver,36.8,-12.57,-5.8,0.31,-0.87,0.79
handdriver,17.15,-325.56,1.22,-1.24,0.04,0.35
handdriver,10.68,-94.06,-10.93,-0.25,0.01,0.83
screwdriver,-15.26,32.65,0.98,0.82,-0.71,0.41
screwdriver,61.4,-114.56,39.43,0.43,-0.71,0.81
screwdriver,-44.62,179.14,-23.56,0.57,-0.59,0.06
screwdriver,19.59,-62.26,1.34,0.48,-0.73,0.6
handdriver,-18.07,39.06,6.84,-0.59,0.01,0.91
handdriver,32.96,-375.43,14.4,-1.35,-0.01,-0.15
screwdriver,3.85,70.68,-3.97,-0.27,-0.74,0.52
handdriver,13.24,-113.53,-3.05,-0.82,-0.1,0.82
screwdriver,-29.97,-134.22,49.38,-0.53,-0.84,0.44
handdriver,24.78,-24.72,16.24,-0.69,-0.1,0.94
handdriver,1.89,-42.11,4.64,-0.75,-0.08,0.79
screwdriver,-27.95,-30.46,33.81,0.12,-1.01,0.29
handdriver,4.94,-81.85,15.99,-0.53,-0.26,1.12
screwdriver,-12.15,-43.58,4.33,-0.18,-0.7,0.78
handdriver,4.39,-20.08,2.62,-0.4,-0.14,0.93
screwdriver,-1.22,-8.91,5.86,0.3,-0.75,0.62
screwdriver,-8.48,-12.82,1.59,0.31,-0.73,0.64
handdriver,17.82,-4.76,7.69,-1.06,-0.14,0.54
handdriver,0.73,-34.97,-4.7,-0.22,-0.12,0.96
screwdriver,-14.04,-14.71,-65.0,1.18,-0.41,0.64
screwdriver,18.07,-464.54,-8.18,-0.71,-0.88,0.5
handdriver,9.95,-13.98,4.64,-0.36,-0.09,0.96
screwdriver,-45.17,113.65,16.66,0.32,-0.77,-0.35
handdriver,-4.21,293.21,-6.16,-1.31,-0.24,0.02
screwdriver,-9.28,471.74,7.32,0.15,-0.84,0.49
handdriver,-4.82,-106.32,3.17,-1.08,-0.1,0.26
screwdriver,-39.79,49.01,2.44,1.34,-0.91,0.49
screwdriver,36.19,-337.89,52.25,-0.23,-1.16,0.58
handdriver,-35.1,249.21,12.45,-0.3,-0.27,0.76
screwdriver,-138.79,247.5,-8.42,0.84,-1.08,0.12
screwdriver,12.76,-31.13,-27.47,0.46,-0.67,0.56
handdriver,-0.06,17.88,-1.83,-0.62,-0.05,0.72
screwdriver,-70.25,78.19,0.18,0.74,-0.86,0.47
handdriver,17.76,-31.86,4.76,-0.75,-0.14,0.74
screwdriver,-7.32,12.27,-23.8,-0.2,-0.79,0.93
handdriver,-8.48,161.38,5.74,-0.39,-0.12,0.73
handdriver,-3.78,-6.71,5.13,-0.73,-0.05,0.73
screwdriver,36.44,-314.39,-3.36,0.29,-0.63,0.52
handdriver,48.03,-134.64,18.98,-0.69,-0.09,0.92
screwdriver,-1.34,-23.44,43.09,0.47,-0.93,0.22
handdriver,7.08,-47.73,9.77,-0.56,-0.17,0.88
handdriver,-13.0,103.33,4.76,-0.78,-0.14,0.64
handdriver,26.79,-92.71,8.54,-0.69,-0.16,0.89
screwdriver,10.74,-79.1,-17.7,0.96,-0.64,0.23
screwdriver,-29.17,85.75,4.39,-0.13,-0.77,0.34
handdriver,-28.44,84.11,5.19,-0.75,-0.05,0.71
handdriver,-7.14,-8.0,-1.22,-0.56,-0.06,0.86
screwdriver,-58.59,181.21,16.66,0.34,-0.77,0.02
handdriver,-5.98,13.92,16.48,-0.9,-0.07,0.56
screwdriver,-17.88,54.87,12.76,0.01,-0.8,0.44
handdriver,11.05,-8.91,20.2,-0.59,-0.18,0.95
screwdriver,39.25,3.36,5.07,0.47,-0.85,0.36
screwdriver,-34.0,197.33,-20.87,0.72,-0.53,0.72
handdriver,-6.41,13.92,3.91,-0.78,-0.11,0.78
handdriver,22.22,-185.61,7.69,-1.07,-0.11,0.76
screwdriver,15.44,-7.57,10.8,0.41,-0.45,0.63
screwdriver,32.23,-105.41,26.86,0.56,-0.68,0.18
screwdriver,10.5,-9.83,37.05,0.35,-0.76,0.39
screwdriver,14.65,-145.32,52.06,0.29,-0.74,1.0
handdriver,-16.66,125.0,7.14,-1.05,-0.26,0.51
handdriver,-14.28,43.21,7.32,-1.16,-0.18,0.5
handdriver,1.34,1.4,3.36,-0.86,-0.07,0.65
handdriver,-43.88,109.01,-13.92,-0.32,-0.03,0.72
handdriver,0.37,286.19,12.63,-0.92,-0.11,0.36
handdriver,4.46,-132.26,29.97,-0.47,-0.28,0.99
handdriver,39.25,-366.88,-8.42,-0.93,-0.08,0.37
screwdriver,-63.66,294.31,-111.02,2.01,-0.72,1.14
screwdriver,114.62,-227.84,-11.84,0.83,-0.72,0.22
handdriver,-41.93,252.26,12.39,-1.14,-0.15,0.59
handdriver,-14.1,64.21,11.66,-0.43,0.03,0.82
screwdriver,77.82,-43.09,-12.63,0.69,-0.85,0.39
screwdriver,-16.6,-34.18,18.01,0.36,-0.77,0.75
screwdriver,-135.8,296.94,-36.19,1.58,-0.48,0.68
handdriver,20.08,-67.32,10.86,-0.74,-0.07,0.78
handdriver,-10.19,94.54,12.21,-0.51,-0.11,0.7
handdriver,2.81,-113.95,18.25,-0.67,-0.02,0.78
handdriver,0.85,22.16,2.62,-1.06,-0.16,0.46
handdriver,6.23,-53.16,4.39,-0.44,-0.22,1.0
screwdriver,-18.43,77.58,40.28,0.72,-0.8,0.51
handdriver,12.27,-216.43,-2.01,-0.36,-0.13,0.78
screwdriver,-15.69,56.46,10.44,0.4,-0.66,0.31
screwdriver,41.75,-103.52,-1.83,0.64,-0.76,0.25
handdriver,9.46,-23.68,9.7,-0.44,0.0,0.86
handdriver,-0.18,76.42,-4.33,-0.26,-0.06,0.86
handdriver,-6.59,-32.29,-1.46,-0.21,-0.01,0.83
screwdriver,49.74,-352.29,-8.0,0.61,-0.48,0.71
screwdriver,75.32,-52.31,26.06,0.51,-0.62,0.48
screwdriver,50.6,-59.39,7.57,0.66,-0.6,0.85
handdriver,-15.08,191.16,3.85,-0.32,-0.06,0.82
screwdriver,2.2,-5.92,3.36,0.28,-0.74,0.6
screwdriver,-11.11,-100.1,20.69,0.7,-0.57,0.39
screwdriver,15.14,-143.25,10.93,-0.24,-1.04,0.15
handdriver,2.2,13.24,7.14,-0.17,-0.04,0.92
handdriver,-25.51,77.76,-2.81,-0.9,-0.47,0.85
screwdriver,6.04,-9.28,9.7,0.4,-0.78,0.54
screwdriver,2.69,2.14,8.3,0.33,-0.78,0.59
handdriver,-35.83,224.49,-18.62,-0.33,-0.06,0.8
handdriver,-17.03,23.86,-5.07,-0.65,0.03,0.82
screwdriver,-72.63,223.94,-6.41,0.91,-0.89,0.5
handdriver,46.63,-426.82,7.51,-0.66,-0.07,0.66
handdriver,15.93,-65.92,-2.93,-0.66,-0.07,0.96
handdriver,17.76,-49.44,11.6,-0.82,-0.07,0.83
handdriver,3.54,0.67,12.08,-0.64,-0.33,0.94
handdriver,-4.88,-30.76,-0.24,-0.24,-0.16,0.98
handdriver,-7.08,-60.61,2.81,-0.75,-0.09,0.67
handdriver,14.22,-78.49,1.59,-0.43,-0.01,0.85
handdriver,16.48,-271.06,-7.93,-1.04,-0.09,0.44
screwdriver,-14.1,48.83,-27.34,0.46,-0.67,0.56
screwdriver,-28.5,149.23,2.93,0.53,-0.86,0.32
handdriver,-13.85,-2.14,19.23,-0.73,-0.1,0.82
handdriver,-1.89,-59.57,4.46,-0.52,-0.08,0.67
handdriver,22.46,-54.26,3.97,-0.34,-0.19,0.95
screwdriver,46.2,-189.03,50.66,1.06,-0.83,0.29
screwdriver,66.41,-83.31,3.42,0.46,-0.81,0.69
handdriver,8.06,-46.39,-0.31,-0.23,-0.12,0.91
handdriver,-2.08,-13.67,8.67,-0.52,-0.14,0.94
screwdriver,-4.39,-227.36,-6.9,0.62,-0.63,0.33
screwdriver,-14.65,500.98,-21.73,-0.08,-0.98,0.94
handdriver,-13.49,281.56,7.63,-1.57,-0.17,0.11
screwdriver,64.58,-127.93,-13.98,0.66,-0.72,0.33
screwdriver,-59.94,505.19,13.18,0.31,-0.59,0.72
screwdriver,14.16,-84.9,-6.16,-0.78,-0.81,0.69
screwdriver,-8.36,-121.95,30.46,0.45,-0.59,0.46
screwdriver,-8.67,-36.8,26.18,0.21,-0.88,0.54
handdriver,26.25,-337.59,-10.07,-1.31,0.0,-0.25
screwdriver,4.15,-104.92,25.94,0.05,-0.73,1.06
screwdriver,-11.47,3.97,24.29,-0.07,-0.85,0.51
handdriver,13.12,-60.12,17.82,-0.54,-0.23,0.92
handdriver,-18.31,56.64,3.11,-0.2,-0.21,0.89
screwdriver,-16.78,229.98,5.19,0.74,-0.53,0.7
screwdriver,-39.18,17.46,11.78,0.92,-0.75,0.2
handdriver,30.82,-150.76,26.49,-1.26,0.07,0.41
screwdriver,-6.04,-108.46,6.96,0.14,-0.8,0.47
handdriver,11.6,-76.66,9.4,-0.48,-0.03,0.84
handdriver,-16.17,7.63,-2.62,-0.74,-0.22,0.76
screwdriver,27.16,-113.71,-40.41,1.05,-0.59,0.62
handdriver,10.62,-350.4,2.56,-0.25,0.0,0.7
handdriver,-17.09,104.86,2.5,-1.1,-0.07,0.68
handdriver,3.72,-4.88,12.57,-1.13,-0.12,0.61
handdriver,0.18,-8.79,5.8,-0.39,-0.11,0.88
handdriver,16.54,6.41,2.81,-1.24,-0.16,0.27
handdriver,6.71,-17.4,6.04,-0.58,-0.1,0.86
screwdriver,-3.05,-188.66,28.87,-0.13,-0.77,0.65
handdriver,15.01,-130.07,-1.34,-0.42,-0.18,0.68
screwdriver,21.48,30.46,40.59,-0.45,-0.95,-0.22
screwdriver,11.47,-66.16,21.79,0.59,-0.76,0.37
screwdriver,-46.26,-258.61,42.72,-0.7,-0.91,-0.09
screwdriver,6.47,-156.62,-3.17,-0.1,-0.79,0.49
handdriver,17.21,-114.2,1.46,-0.58,-0.08,0.82
handdriver,9.95,-72.08,4.21,-0.43,-0.06,0.85
screwdriver,-68.73,123.96,-19.29,0.88,-0.81,0.41
handdriver,-54.08,349.85,-2.62,-1.63,-0.25,0.17
screwdriver,3.36,-28.93,1.53,-0.26,-0.83,0.55
handdriver,5.62,-28.5,18.98,-0.67,-0.16,0.83
screwdriver,-20.81,53.16,4.27,0.28,-0.76,0.46
handdriver,6.1,-164.67,-9.52,-0.53,-0.12,0.77
handdriver,-0.43,-13.18,15.56,-0.67,-0.04,0.8
handdriver,28.14,-220.28,12.08,-0.58,-0.1,0.87
screwdriver,15.14,-3.42,-43.21,0.88,-0.47,0.62
screwdriver,32.17,-337.34,19.84,0.06,-0.58,0.66
handdriver,-13.0,36.68,-13.55,-0.68,-0.12,0.88
handdriver,-13.92,-1.4,2.93,-0.71,-0.14,0.65
screwdriver,10.62,-124.15,89.48,0.35,-0.67,0.39
handdriver,23.44,-45.47,2.56,-0.49,-0.04,0.89
screwdriver,-153.56,597.6,-41.81,0.81,-0.7,-0.01
screwdriver,52.55,-268.01,25.82,0.62,-0.47,0.33
handdriver,2.5,-37.41,-1.04,-0.84,-0.1,0.7
handdriver,3.11,-6.59,12.76,-0.79,-0.13,0.8
handdriver,17.27,-97.29,-14.04,-0.65,-0.19,0.78
handdriver,-13.79,38.94,-0.18,-0.18,-0.21,0.91
handdriver,-8.48,1.65,-0.18,-0.72,-0.16,0.83
screwdriver,-2.99,-11.11,7.2,0.35,-0.76,0.64
handdriver,-29.6,203.12,-0.49,-1.01,-0.19,0.45
screwdriver,11.72,-35.28,-14.04,0.4,-0.63,0.64
screwdriver,16.85,-16.48,5.31,0.46,-0.87,0.28
screwdriver,86.91,-239.38,-46.81,0.88,-0.68,-0.04
screwdriver,-14.4,112.73,-29.42,1.1,-0.75,0.6
screwdriver,11.84,-176.09,-22.58,0.5,-0.82,0.01
screwdriver,-9.22,-57.07,40.28,0.05,-0.78,0.43
handdriver,-6.29,113.22,7.57,-0.31,-0.03,0.91
handdriver,-9.52,28.69,0.98,-0.42,-0.05,0.82
handdriver,30.94,-79.9,14.71,-0.69,-0.15,0.93
screwdriver,26.61,-136.96,-7.93,0.51,-0.77,0.15
handdriver,-12.33,473.27,27.4,0.23,-0.22,0.66
handdriver,-3.48,-330.2,19.96,-1.35,-0.05,0.0
screwdriver,37.05,-298.4,-26.79,0.47,-0.7,-0.22
handdriver,7.14,3.66,-4.09,-0.36,-0.09,0.91
screwdriver,-42.18,-82.76,59.88,0.09,-0.86,0.21
screwdriver,-5.19,27.89,58.84,0.06,-0.76,0.51
screwdriver,-44.37,370.61,-15.01,-0.42,-1.08,0.81
screwdriver,-16.24,21.67,7.81,0.81,-0.92,0.19
screwdriver,-64.15,97.11,-48.1,-0.38,-0.99,0.9
handdriver,-18.98,-7.63,-9.58,-0.49,-0.11,0.95
screwdriver,67.99,-93.57,-12.63,0.46,-0.75,0.07
handdriver,2.87,1.53,10.74,-0.77,-0.1,0.65
handdriver,13.24,-48.4,5.98,-0.67,-0.11,0.66
screwdriver,11.78,-139.04,23.44,-0.14,-0.8,1.03
screwdriver,27.59,-251.95,8.48,0.32,-1.04,0.19
screwdriver,82.34,-86.43,-8.24,0.52,-0.9,0.34
handdriver,21.61,-151.86,-0.92,-1.32,-0.05,0.27
screwdriver,-7.02,115.23,-19.23,-0.15,-0.46,0.51
handdriver,-14.22,84.47,2.99,-0.35,-0.18,0.85
handdriver,0.85,-176.45,4.27,-0.65,-0.02,0.62
handdriver,18.13,-28.02,1.34,-0.9,-0.29,1.04
screwdriver,-16.72,62.38,57.68,0.15,-0.93,0.48
screwdriver,24.84,-144.41,27.71,0.53,-0.91,0.23
screwdriver,-187.68,638.37,-56.21,2.23,-0.97,0.2
handdriver,-6.47,-2.62,-0.06,-0.56,-0.18,0.85
screwdriver,-6.35,163.33,-47.36,-0.16,-0.61,0.46
screwdriver,34.12,57.31,2.38,0.19,-0.68,0.83
screwdriver,87.77,-195.07,13.0,0.52,-0.57,0.66
handdriver,-36.5,121.28,-7.2,-1.13,-0.2,0.44
handdriver,5.55,-18.01,2.87,-0.46,0.05,0.84
handdriver,-25.76,270.75,-15.14,-0.16,-0.13,0.92
handdriver,-29.54,333.98,5.43,-0.55,-0.22,0.6
handdriver,35.77,-104.06,11.6,-0.46,-0.26,1.16
screwdriver,41.56,-418.82,3.85,0.34,-0.59,0.63
screwdriver,15.14,-43.09,5.31,1.03,-0.62,0.68
handdriver,36.62,-227.42,9.46,-0.66,-0.05,0.79
screwdriver,29.79,-268.55,10.44,0.16,-0.88,0.47
screwdriver,-35.77,164.67,-40.65,0.02,-0.88,0.91
screwdriver,-30.21,149.17,-10.38,0.51,-0.46,0.7
screwdriver,25.27,-87.1,-23.56,0.84,-0.68,0.21
screwdriver,-1.95,-18.01,4.33,0.13,-0.65,0.87
screwdriver,13.92,54.81,3.05,-0.2,-0.63,0.71
screwdriver,-69.27,85.82,13.18,0.2,-0.48,0.06
screwdriver,-18.07,15.99,12.94,0.76,-0.78,0.29
handdriver,-1.22,-30.15,-13.24,-0.58,-0.07,0.85
screwdriver,-57.25,138.67,11.05,1.24,-1.01,0.26
screwdriver,-4.64,-123.72,45.35,-0.05,-1.1,0.41
screwdriver,-16.72,6.77,33.14,-0.31,-0.83,0.48
screwdriver,68.05,-141.54,-5.31,0.63,-0.71,0.48
screwdriver,17.94,-22.46,5.19,0.26,-0.57,1.1
handdriver,-9.89,44.01,-0.85,-0.02,-0.06,0.76
handdriver,-41.5,189.39,-9.22,-0.01,-0.26,0.94
screwdriver,2.56,-4.39,-6.77,0.28,-0.79,0.65
handdriver,26.49,-52.49,12.27,-0.55,-0.13,0.96
screwdriver,114.44,-381.35,-28.99,0.88,-0.86,-0.24
screwdriver,-3.6,36.01,9.83,-0.16,-0.87,0.6
handdriver,-6.96,-6.35,0.37,-0.2,-0.14,0.96
handdriver,34.55,-536.07,-17.09,-0.81,-0.03,0.17
screwdriver,-14.95,216.55,-0.18,-0.32,-0.76,0.87
handdriver,-24.84,170.41,-0.92,-0.12,-0.12,0.92
handdriver,-18.19,370.85,0.37,-1.05,-0.11,0.43
handdriver,52.61,-489.07,-14.83,-0.69,-0.04,0.15
handdriver,23.62,-94.42,-1.34,-0.55,-0.34,1.01
screwdriver,7.87,-281.01,34.36,-0.03,-0.71,0.87
screwdriver,2.14,-216.92,21.24,-0.56,-0.89,0.7
handdriver,-1.04,-32.41,3.17,-0.4,-0.19,0.92
screwdriver,133.3,-290.16,-44.62,0.75,-0.89,-0.05
handdriver,-15.56,37.9,-19.59,-0.37,-0.1,0.74
screwdriver,-24.29,294.86,-17.09,-0.55,-0.99,0.71
screwdriver,16.17,-77.94,6.77,0.39,-0.75,0.57
screwdriver,8.0,-40.1,22.83,0.43,-0.92,0.47
handdriver,-15.5,-48.77,-0.92,-0.86,-0.2,0.66
handdriver,-2.01,-20.63,-6.9,-0.7,-0.1,0.73
screwdriver,11.96,-27.28,14.04,0.29,-0.81,0.57
handdriver,26.73,-115.66,4.88,-0.83,-0.07,0.83
handdriver,16.05,-156.07,-2.38,-1.32,-0.13,0.58
handdriver,8.24,59.94,2.01,-0.71,-0.09,0.64
screwdriver,-8.0,-34.85,26.31,0.49,-0.61,0.55
screwdriver,2.32,4.58,8.06,0.43,-0.8,0.54
handdriver,22.95,-63.29,13.18,-0.73,-0.27,0.88
handdriver,-27.4,122.99,-1.71,-0.53,-0.15,0.72
screwdriver,23.5,-63.96,29.3,-0.27,-0.89,0.21
screwdriver,-6.84,-25.76,2.26,0.65,-0.71,0.43
handdriver,-3.6,0.61,-1.22,-0.48,-0.15,0.93
screwdriver,-9.89,187.99,-3.48,0.22,-0.41,0.9
screwdriver,22.4,-97.78,3.23,0.62,-0.79,0.23
screwdriver,14.47,23.74,10.93,0.15,-0.56,0.59
