timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,6.35,-15.50,2.38,0.44,-0.68,0.65,n,1715783263336.0
14,4.39,-14.04,1.77,0.41,-0.67,0.63,n,1715783263641.0
26,3.30,-12.76,0.92,0.38,-0.68,0.64,n,1715783263641.0
38,2.62,-11.11,1.28,0.36,-0.68,0.63,n,1715783263641.0
50,2.14,-6.65,2.26,0.36,-0.67,0.62,n,1715783263641.0
62,-1.10,-0.18,3.72,0.34,-0.66,0.61,n,1715783263641.0
74,-2.01,14.95,6.04,0.36,-0.64,0.57,n,1715783263641.0
86,-10.93,43.70,8.36,0.33,-0.57,0.50,n,1715783263641.0
98,-24.66,92.96,5.74,0.33,-0.58,0.44,n,1715783263641.0
110,-34.97,164.67,4.52,0.33,-0.55,0.36,n,1715783263641.0
122,-47.49,255.43,1.83,0.39,-0.53,0.38,n,1715783263641.0
134,-61.34,356.69,-3.05,0.29,-0.64,0.38,n,1715783263641.0
146,-64.82,413.09,3.97,0.43,-0.71,0.36,n,1715783263641.0
158,-61.40,422.42,9.89,0.20,-0.95,0.64,n,1715783263641.0
170,-24.41,380.98,11.96,0.07,-1.05,0.76,n,1715783263641.0
182,0.37,288.57,-13.73,-0.28,-1.02,0.92,n,1715783263641.0
194,10.74,127.99,-18.55,-0.79,-0.99,0.92,n,1715783263641.0
206,16.85,1.28,-25.27,-0.47,-0.92,0.95,n,1715783263641.0
218,15.69,-54.57,-40.71,0.03,-0.65,0.89,n,1715783263641.0
230,-2.32,-67.08,-32.71,0.26,-0.80,0.81,n,1715783263641.0
242,-8.61,-64.27,-11.47,0.17,-0.86,0.81,n,1715783263641.0
254,-11.41,-73.91,-0.98,0.04,-0.85,0.81,n,1715783263641.0
278,-15.50,-82.95,-2.44,0.24,-0.85,0.88,n,1715783263641.0
290,-19.78,-70.86,2.50,0.20,-0.82,0.89,n,1715783263641.0
302,-24.05,-71.35,4.15,0.16,-0.88,0.90,n,1715783263641.0
314,-24.84,-92.71,4.88,0.07,-0.88,0.86,n,1715783263684.0
326,-25.15,-117.43,0.67,-0.03,-0.92,0.82,n,1715783263684.0
338,-18.25,-139.65,0.12,-0.02,-0.92,0.72,n,1715783263684.0
350,-5.68,-166.38,-1.16,-0.02,-0.85,0.64,n,1715783263733.0
363,-0.98,-177.19,-4.15,0.14,-0.87,0.61,n,1715783263733.0
375,9.70,-188.29,-5.19,0.08,-0.75,0.58,n,1715783263733.0
387,12.27,-205.32,-7.08,0.14,-0.71,0.58,n,1715783263733.0
399,15.38,-206.48,-9.83,0.20,-0.64,0.58,n,1715783263779.0
411,14.47,-209.96,-11.35,0.33,-0.63,0.56,n,1715783263780.0
423,12.82,-205.08,-8.67,0.47,-0.64,0.55,n,1715783263780.0
435,10.25,-193.66,5.80,0.50,-0.65,0.51,n,1715783263780.0
447,11.90,-170.47,17.33,0.42,-0.62,0.53,n,1715783263829.0
459,8.12,-147.22,28.63,0.44,-0.66,0.49,n,1715783263829.0
471,9.03,-125.67,32.71,0.30,-0.63,0.44,n,1715783263829.0
483,5.25,-110.35,35.64,0.38,-0.60,0.40,n,1715783263829.0
495,-1.16,-89.17,28.87,0.45,-0.58,0.29,n,1715783263875.0
508,-7.32,-63.05,30.15,0.44,-0.59,0.29,n,1715783263875.0
520,-11.90,-44.07,35.52,0.40,-0.63,0.28,n,1715783263875.0
532,-14.40,-28.81,41.38,0.38,-0.63,0.24,n,1715783263875.0
544,-20.45,-18.25,33.57,0.46,-0.63,0.22,n,1715783263932.0
556,-30.33,1.89,27.95,0.49,-0.64,0.19,n,1715783263932.0
568,-45.72,30.94,26.37,0.41,-0.65,0.21,n,1715783263932.0
580,-52.37,72.69,26.25,0.41,-0.78,0.30,n,1715783263932.0
592,-50.05,134.95,18.19,0.67,-0.85,0.45,n,1715783263932.0
604,-54.87,232.97,7.51,0.91,-0.87,0.50,n,1715783263982.0
616,-62.87,382.45,-1.16,0.92,-1.05,0.63,n,1715783263982.0
628,-42.11,539.37,-8.85,0.84,-1.22,0.79,n,1715783263982.0
640,-0.31,640.44,9.22,0.62,-1.02,0.72,n,1715783263982.0
652,14.71,703.12,13.55,0.56,-0.93,0.80,n,1715783264034.0
664,17.52,712.34,-26.49,0.38,-1.16,0.70,n,1715783264034.0
676,11.17,663.21,-45.29,0.02,-1.15,0.53,n,1715783264034.0
688,2.75,547.97,-33.51,-0.39,-0.98,0.39,n,1715783264034.0
700,-4.09,413.82,-22.46,-0.73,-0.92,0.24,n,1715783264253.0
713,-3.72,271.06,-12.45,-0.98,-0.84,0.06,n,1715783264253.0
725,-0.98,137.39,-13.85,-1.01,-0.77,0.07,n,1715783264253.0
737,-4.76,20.32,-19.17,-0.91,-0.78,0.17,n,1715783264253.0
749,-9.16,-74.95,-15.81,-0.82,-0.82,0.32,n,1715783264253.0
761,-10.93,-139.16,-13.18,-0.62,-0.79,0.47,n,1715783264253.0
773,-21.12,-184.08,-4.21,-0.46,-0.81,0.58,n,1715783264253.0
785,-27.95,-215.82,4.76,-0.35,-0.87,0.67,n,1715783264253.0
797,-30.46,-263.37,11.35,-0.39,-0.90,0.66,n,1715783264253.0
809,-31.07,-305.11,11.84,-0.56,-1.00,0.66,n,1715783264253.0
821,-19.78,-342.22,4.64,-0.43,-0.95,0.61,n,1715783264253.0
833,-12.63,-377.26,-10.44,-0.13,-0.87,0.63,n,1715783264253.0
845,-8.48,-409.24,-26.12,0.05,-0.82,0.62,n,1715783264253.0
857,-6.96,-442.81,-40.77,0.06,-0.79,0.56,n,1715783264253.0
869,-3.48,-478.21,-56.03,0.23,-0.82,0.42,n,1715783264253.0
881,17.82,-474.43,-60.91,0.60,-0.81,0.41,n,1715783264253.0
893,33.08,-436.65,-47.61,0.61,-0.64,0.28,n,1715783264253.0
905,30.94,-372.56,-32.71,0.70,-0.68,0.31,n,1715783264253.0
917,27.77,-287.05,-17.58,0.95,-0.66,0.36,n,1715783264253.0
931,17.88,-188.84,10.99,0.94,-0.68,0.36,n,1715783264296.0
943,16.54,-87.34,15.20,0.75,-0.59,0.31,n,1715783264296.0
955,2.50,-21.91,12.57,0.45,-0.60,0.27,n,1715783264296.0
967,-4.27,0.06,16.11,0.44,-0.67,0.29,n,1715783264342.0
979,-9.34,17.52,16.91,0.35,-0.72,0.31,n,1715783264342.0
991,-11.05,23.62,19.10,0.28,-0.72,0.36,n,1715783264342.0
1003,-11.35,23.01,18.74,0.20,-0.70,0.33,n,1715783264342.0
1015,-15.26,22.03,13.37,0.31,-0.70,0.31,n,1715783264389.0
1027,-22.77,33.20,13.06,0.40,-0.72,0.26,n,1715783264389.0
1039,-25.09,67.69,19.53,0.52,-0.71,0.21,n,1715783264389.0
1051,-26.79,135.01,28.93,0.59,-0.69,0.17,n,1715783264389.0
1063,-31.74,232.48,40.22,0.54,-0.71,0.20,n,1715783264444.0
1075,-31.49,350.52,40.53,0.55,-0.73,0.25,n,1715783264444.0
1087,-30.09,489.01,31.74,0.61,-0.79,0.39,n,1715783264444.0
1099,-27.22,595.15,32.29,0.69,-0.98,0.49,n,1715783264444.0
1111,4.82,677.25,38.94,0.38,-1.21,0.75,n,1715783264560.0
1123,32.84,699.58,18.25,0.33,-1.17,0.94,n,1715783264560.0
1135,37.48,672.42,-23.93,0.25,-1.21,0.92,n,1715783264560.0
1147,45.23,610.23,-39.06,-0.17,-1.15,0.80,n,1715783264560.0
1159,39.61,495.30,-33.33,-0.35,-1.02,0.66,n,1715783264560.0
1171,27.34,371.03,-25.88,-0.66,-1.04,0.47,n,1715783264560.0
1183,25.82,247.13,-11.60,-0.84,-0.94,0.29,n,1715783264560.0
1195,21.00,144.10,-14.89,-0.65,-0.81,0.21,n,1715783264560.0
1207,16.05,68.85,-16.66,-0.62,-0.84,0.22,n,1715783264561.0
1219,11.35,6.96,-15.44,-0.57,-0.79,0.25,n,1715783264561.0
1231,-0.49,-47.55,-7.57,-0.56,-0.84,0.22,n,1715783264607.0
1243,-5.43,-97.11,-3.23,-0.61,-0.80,0.28,n,1715783264607.0
1255,-16.05,-151.61,4.33,-0.69,-0.84,0.34,n,1715783264607.0
1267,-23.99,-215.33,8.67,-0.79,-0.93,0.44,n,1715783264607.0
1279,-26.73,-288.09,4.46,-0.80,-0.99,0.48,n,1715783264654.0
1291,-26.06,-364.75,0.31,-0.70,-1.00,0.41,n,1715783264654.0
1303,-21.24,-429.14,-5.55,-0.49,-0.90,0.33,n,1715783264654.0
1315,-22.83,-483.03,-13.73,-0.23,-0.88,0.31,n,1715783264654.0
1327,-17.33,-522.09,-23.93,-0.02,-0.85,0.31,n,1715783264702.0
1339,-14.71,-544.37,-31.92,0.23,-0.87,0.34,n,1715783264702.0
1351,-11.29,-548.58,-38.33,0.35,-0.89,0.30,n,1715783264702.0
1363,7.69,-531.31,-37.72,0.53,-0.88,0.30,n,1715783264702.0
1375,22.89,-484.80,-32.23,0.69,-0.85,0.33,n,1715783264750.0
1387,38.33,-399.78,-13.31,0.87,-0.75,0.36,n,1715783264750.0
1399,37.48,-300.48,-0.49,0.84,-0.68,0.38,n,1715783264750.0
1411,26.12,-206.60,12.15,0.69,-0.67,0.37,n,1715783264750.0
1423,21.30,-136.54,22.09,0.65,-0.63,0.26,n,1715783264796.0
1435,10.86,-73.18,21.48,0.65,-0.63,0.23,n,1715783264796.0
1447,-0.49,-28.93,17.64,0.46,-0.66,0.19,n,1715783264796.0
1459,-2.93,-8.91,21.91,0.35,-0.71,0.21,n,1715783264796.0
1471,-3.05,-1.65,21.36,0.37,-0.69,0.25,n,1715783264868.0
1483,-7.93,11.11,15.69,0.41,-0.69,0.26,n,1715783264868.0
1495,-14.16,23.19,12.51,0.45,-0.73,0.25,n,1715783264868.0
1507,-15.63,45.47,14.16,0.48,-0.74,0.23,n,1715783264868.0
1519,-19.90,87.10,18.86,0.52,-0.70,0.20,n,1715783264868.0
1531,-26.25,159.55,27.53,0.52,-0.71,0.22,n,1715783264868.0
1546,-29.91,338.75,30.40,0.71,-0.72,0.26,n,1715783264956.0
1558,-34.73,474.73,22.28,0.80,-0.80,0.35,n,1715783264956.0
1570,-32.23,592.35,30.58,0.70,-1.06,0.51,n,1715783264956.0
1582,5.55,677.00,48.95,0.71,-1.21,0.65,n,1715783264956.0
1594,37.17,737.30,28.20,0.31,-1.12,0.66,n,1715783264956.0
1606,41.38,709.35,0.79,0.20,-1.03,0.65,n,1715783264956.0
1618,31.74,607.30,-26.18,-0.24,-1.03,0.55,n,1715783264956.0
1630,17.27,452.15,-11.90,-0.74,-1.01,0.50,n,1715783265001.0
1642,15.14,303.41,-2.01,-1.03,-1.08,0.46,n,1715783265001.0
1654,20.02,171.69,-5.00,-0.94,-1.00,0.48,n,1715783265001.0
1666,23.99,77.15,-11.72,-0.77,-0.97,0.57,n,1715783265174.0
