timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,-52.31,212.77,1.83,-1.51,-0.3,0.39,n,1715783692803.0
14,-32.17,86.79,1.71,-1.49,-0.27,0.31,n,1715783692885.0
26,-3.97,-31.98,3.97,-1.49,-0.24,0.37,n,1715783692885.0
38,19.59,-142.58,1.65,-1.42,-0.17,0.51,n,1715783692885.0
50,28.75,-235.66,-4.7,-1.26,-0.07,0.6,n,1715783692885.0
62,27.1,-295.35,-10.44,-1.02,-0.07,0.69,n,1715783692886.0
74,22.58,-323.3,-13.73,-0.83,-0.09,0.7,n,1715783692886.0
86,20.75,-327.51,-11.23,-0.68,-0.13,0.69,n,1715783692928.0
98,25.7,-311.71,-2.2,-0.51,-0.17,0.7,n,1715783692928.0
110,36.25,-271.12,7.45,-0.37,-0.15,0.74,n,1715783692928.0
122,37.9,-211.49,15.75,-0.31,-0.07,0.78,n,1715783692928.0
134,31.43,-154.79,14.28,-0.37,-0.0,0.82,n,1715783693104.0
146,23.19,-119.45,8.91,-0.44,-0.02,0.88,n,1715783693104.0
158,17.64,-104.0,2.08,-0.53,-0.05,0.92,n,1715783693104.0
170,11.78,-105.22,-4.21,-0.53,-0.07,0.97,n,1715783693104.0
182,5.92,-108.7,-7.39,-0.45,-0.09,0.91,n,1715783693104.0
194,0.98,-104.06,-6.71,-0.31,-0.11,0.86,n,1715783693104.0
206,-0.92,-90.09,-0.18,-0.27,-0.11,0.83,n,1715783693104.0
218,-2.26,-64.45,5.62,-0.24,-0.09,0.86,n,1715783693105.0
230,-7.2,-28.63,9.16,-0.24,-0.09,0.92,n,1715783693105.0
242,-8.18,16.3,7.08,-0.3,-0.12,0.97,n,1715783693105.0
254,-8.18,62.07,2.62,-0.38,-0.13,1.02,n,1715783693105.0
266,-10.62,109.01,1.95,-0.3,-0.12,1.04,n,1715783693105.0
278,-18.31,177.31,3.97,-0.14,-0.11,1.0,n,1715783693105.0
290,-28.14,274.23,18.8,-0.08,-0.14,0.89,n,1715783693105.0
302,-41.56,384.7,26.61,-0.22,-0.15,0.81,n,1715783693149.0
316,-40.59,517.88,31.62,-0.33,-0.25,0.79,n,1715783693149.0
328,-38.33,570.37,28.08,-0.45,-0.22,0.59,n,1715783693149.0
340,-46.94,574.65,18.19,-0.78,-0.23,0.28,n,1715783693149.0
352,-46.08,505.0,19.23,-1.23,-0.3,0.17,n,1715783693195.0
364,-24.23,367.74,17.82,-1.74,-0.31,0.13,n,1715783693195.0
